# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
currency-formats	en-BE	JPY/-123456	-123.456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	JPY/100000000	100.000.000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	JPY/123456	123.456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	USD/-123456	-1.234,56 US$	-US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	USD/0	0,00 US$	US$0.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	USD/1	0,01 US$	US$0.01	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	USD/100000000	1.000.000,00 US$	US$1,000,000.00	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-BE	USD/123456	1.234,56 US$	US$1,234.56	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	JPY/-123456	-123.456 JP¥	-JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	JPY/0	0 JP¥	JP¥0	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	JPY/1	1 JP¥	JP¥1	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	JPY/100000000	100.000.000 JP¥	JP¥100,000,000	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
currency-formats	en-DE	JPY/123456	123.456 JP¥	JP¥123,456	DELIBERATE	CLDR parentLocales makes this locale a child of en_150, whose own file declares the currency pattern #,##0.00 and the European separators. ICU renders the plain English form instead. This library follows CLDR's declared parent chain.
