# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
hour-cycle-skeletons	ckb-IR	K/H11	Kی a	K a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	K/H12	hی a	h a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	K/H23	hی a	h a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	K/H24	hی a	h a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	h/H11	Kی a	K a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	h/H12	hی a	h a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	h/H23	hی a	h a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	h/H24	hی a	h a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	j/H11	Kی a	K a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. With no cycle named, j resolves to the twenty-four hour form for this locale and the difference never shows, so naming a twelve-hour cycle is what reaches it. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	ckb-IR	j/H12	hی a	h a	DELIBERATE	NON_GREGORIAN_CALENDAR. Central Kurdish in Iran prefers the Persian calendar and ICU answers it from that calendar's chain, where the twelve-hour item is h a rather than the hی a that ckb states on the Gregorian calendar. With no cycle named, j resolves to the twenty-four hour form for this locale and the difference never shows, so naming a twelve-hour cycle is what reaches it. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	C/H11	HH	H	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	C/H12	HH	H	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	C/H23	HH	H	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	C/H24	kk	k	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	Cm/H11	HH:mm	H:mm	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	Cm/H12	HH:mm	H:mm	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	Cm/H23	HH:mm	H:mm	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	Cm/H24	kk:mm	k:mm	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	H/H11	HH	H	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	H/H12	HH	H	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	H/H23	HH	H	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
hour-cycle-skeletons	fa-AF	H/H24	kk	k	DELIBERATE	NON_GREGORIAN_CALENDAR. Dari prefers the Persian calendar and ICU answers it from that calendar's chain, where the hour items come from the generic calendar and state H:mm against root's HH:mm. The same skeleton disagrees with no cycle named, so the override did not create this disagreement, only one row of it per cycle. The hour letter is the one the cycle names either way. This library reads the Gregorian calendar only. See README.md, scope and limitations.
